model_1	model_2	model_1_tier	model_2_tier	tier_distance	comparison_count
koala-13b	vicuna-13b	Tier 5	Tier 3	2	235
llama-2-70b-chat	vicuna-13b	Tier 2	Tier 3	1	209
llama-2-7b-chat	mistral-7b-instruct	Tier 3	Tier 4	1	207
llama-2-13b-chat	mistral-7b-instruct	Tier 3	Tier 4	1	203
oasst-pythia-12b	vicuna-13b	Tier 6	Tier 3	3	167
llama-2-13b-chat	llama-2-70b-chat	Tier 3	Tier 2	1	146
chatglm3-6b	qwen-14b-chat	Tier 5	Tier 3	2	145
koala-13b	oasst-pythia-12b	Tier 5	Tier 6	1	137
alpaca-13b	vicuna-13b	Tier 6	Tier 3	3	135
chatglm-6b	vicuna-13b	Tier 7	Tier 3	4	124
llama-2-70b-chat	mistral-7b-instruct	Tier 2	Tier 4	2	118
llama-2-7b-chat	stripedhyena-nous-7b	Tier 3	Tier 4	1	117
alpaca-13b	koala-13b	Tier 6	Tier 5	1	112
llama-2-70b-chat	qwen-14b-chat	Tier 2	Tier 3	1	111
llama-2-13b-chat	vicuna-33b	Tier 3	Tier 2	1	106
RWKV-4-Raven-14B	vicuna-13b	Tier 6	Tier 3	3	103
alpaca-13b	chatglm-6b	Tier 6	Tier 7	1	100
chatglm-6b	koala-13b	Tier 7	Tier 5	2	94
vicuna-13b	vicuna-7b	Tier 3	Tier 4	1	85
dolly-v2-12b	vicuna-13b	Tier 8	Tier 3	5	85
dolly-v2-12b	oasst-pythia-12b	Tier 8	Tier 6	2	85
chatglm-6b	oasst-pythia-12b	Tier 7	Tier 6	1	84
vicuna-13b	vicuna-33b	Tier 3	Tier 2	1	82
stablelm-tuned-alpha-7b	vicuna-13b	Tier 8	Tier 3	5	78
mistral-medium	stripedhyena-nous-7b	Tier 1	Tier 4	3	78
fastchat-t5-3b	koala-13b	Tier 7	Tier 5	2	78
dolly-v2-12b	koala-13b	Tier 8	Tier 5	3	75
RWKV-4-Raven-14B	chatglm-6b	Tier 6	Tier 7	1	74
koala-13b	stablelm-tuned-alpha-7b	Tier 5	Tier 8	3	74
codellama-34b-instruct	llama-2-70b-chat	Tier 3	Tier 2	1	73
oasst-pythia-12b	stablelm-tuned-alpha-7b	Tier 6	Tier 8	2	72
alpaca-13b	stablelm-tuned-alpha-7b	Tier 6	Tier 8	2	72
chatglm-6b	dolly-v2-12b	Tier 7	Tier 8	1	72
RWKV-4-Raven-14B	koala-13b	Tier 6	Tier 5	1	70
vicuna-33b	wizardlm-13b	Tier 2	Tier 3	1	70
codellama-34b-instruct	vicuna-33b	Tier 3	Tier 2	1	69
fastchat-t5-3b	oasst-pythia-12b	Tier 7	Tier 6	1	69
koala-13b	mpt-7b-chat	Tier 5	Tier 6	1	69
llama-2-7b-chat	vicuna-7b	Tier 3	Tier 4	1	68
chatglm-6b	stablelm-tuned-alpha-7b	Tier 7	Tier 8	1	67
alpaca-13b	fastchat-t5-3b	Tier 6	Tier 7	1	66
vicuna-7b	wizardlm-13b	Tier 4	Tier 3	1	65
llama-2-13b-chat	vicuna-7b	Tier 3	Tier 4	1	65
llama-2-7b-chat	vicuna-33b	Tier 3	Tier 2	1	64
vicuna-33b	vicuna-7b	Tier 2	Tier 4	2	62
vicuna-13b	wizardlm-70b	Tier 3	Tier 2	1	62
fastchat-t5-3b	vicuna-13b	Tier 7	Tier 3	4	62
alpaca-13b	dolly-v2-12b	Tier 6	Tier 8	2	61
mpt-7b-chat	vicuna-13b	Tier 6	Tier 3	3	61
koala-13b	vicuna-7b	Tier 5	Tier 4	1	60
llama-2-13b-chat	wizardlm-70b	Tier 3	Tier 2	1	59
mistral-medium	vicuna-33b	Tier 1	Tier 2	1	58
codellama-34b-instruct	wizardlm-70b	Tier 3	Tier 2	1	58
alpaca-13b	vicuna-7b	Tier 6	Tier 4	2	57
RWKV-4-Raven-14B	fastchat-t5-3b	Tier 6	Tier 7	1	56
llama-2-70b-chat	wizardlm-13b	Tier 2	Tier 3	1	53
wizardlm-13b	wizardlm-70b	Tier 3	Tier 2	1	51
RWKV-4-Raven-14B	stablelm-tuned-alpha-7b	Tier 6	Tier 8	2	51
llama-2-70b-chat	llama-2-7b-chat	Tier 2	Tier 3	1	49
llama-2-70b-chat	vicuna-7b	Tier 2	Tier 4	2	47
RWKV-4-Raven-14B	vicuna-7b	Tier 6	Tier 4	2	47
oasst-pythia-12b	vicuna-7b	Tier 6	Tier 4	2	45
chatglm-6b	vicuna-7b	Tier 7	Tier 4	3	44
dolly-v2-12b	fastchat-t5-3b	Tier 8	Tier 7	1	44
gpt4all-13b-snoozy	guanaco-33b	Tier 5	Tier 3	2	43
fastchat-t5-3b	mpt-7b-chat	Tier 7	Tier 6	1	43
mpt-7b-chat	vicuna-7b	Tier 6	Tier 4	2	42
codellama-34b-instruct	mistral-medium	Tier 3	Tier 1	2	40
RWKV-4-Raven-14B	wizardlm-13b	Tier 6	Tier 3	3	40
oasst-pythia-12b	wizardlm-13b	Tier 6	Tier 3	3	39
chatglm2-6b	llama-2-70b-chat	Tier 6	Tier 2	4	39
chatglm-6b	mpt-7b-chat	Tier 7	Tier 6	1	38
mpt-7b-chat	wizardlm-13b	Tier 6	Tier 3	3	38
codellama-34b-instruct	vicuna-7b	Tier 3	Tier 4	1	38
chatglm2-6b	codellama-34b-instruct	Tier 6	Tier 3	3	38
mistral-7b-instruct	vicuna-33b	Tier 4	Tier 2	2	38
chatglm2-6b	wizardlm-70b	Tier 6	Tier 2	4	38
llama-2-70b-chat	qwen1.5-72b-chat	Tier 2	Tier 1	1	38
chatglm2-6b	chatglm3-6b	Tier 6	Tier 5	1	37
alpaca-13b	wizardlm-13b	Tier 6	Tier 3	3	35
fastchat-t5-3b	vicuna-7b	Tier 7	Tier 4	3	35
llama-2-7b-chat	wizardlm-70b	Tier 3	Tier 2	1	35
qwen-14b-chat	vicuna-33b	Tier 3	Tier 2	1	35
gpt4all-13b-snoozy	wizardlm-13b	Tier 5	Tier 3	2	34
RWKV-4-Raven-14B	dolly-v2-12b	Tier 6	Tier 8	2	34
fastchat-t5-3b	stablelm-tuned-alpha-7b	Tier 7	Tier 8	1	33
RWKV-4-Raven-14B	guanaco-33b	Tier 6	Tier 3	3	33
guanaco-33b	mpt-7b-chat	Tier 3	Tier 6	3	33
guanaco-33b	vicuna-7b	Tier 3	Tier 4	1	32
vicuna-7b	wizardlm-70b	Tier 4	Tier 2	2	31
fastchat-t5-3b	wizardlm-13b	Tier 7	Tier 3	4	31
mistral-medium	qwen-14b-chat	Tier 1	Tier 3	2	31
guanaco-33b	koala-13b	Tier 3	Tier 5	2	30
chatglm2-6b	vicuna-13b	Tier 6	Tier 3	3	29
stablelm-tuned-alpha-7b	vicuna-7b	Tier 8	Tier 4	4	29
chatglm3-6b	openchat-3.5	Tier 5	Tier 2	3	28
guanaco-33b	oasst-pythia-12b	Tier 3	Tier 6	3	28
mistral-medium	tulu-2-dpo-70b	Tier 1	Tier 2	1	28
mpt-7b-chat	stablelm-tuned-alpha-7b	Tier 6	Tier 8	2	28
koala-13b	vicuna-33b	Tier 5	Tier 2	3	27
chatglm3-6b	mistral-medium	Tier 5	Tier 1	4	27
mistral-medium	nous-hermes-2-mixtral-8x7b-dpo	Tier 1	Tier 2	1	27
gpt4all-13b-snoozy	vicuna-13b	Tier 5	Tier 3	2	27
mistral-7b-instruct	mistral-medium	Tier 4	Tier 1	3	26
mpt-30b-chat	vicuna-7b	Tier 3	Tier 4	1	26
nous-hermes-2-mixtral-8x7b-dpo	qwen1.5-72b-chat	Tier 2	Tier 1	1	26
mpt-30b-chat	vicuna-33b	Tier 3	Tier 2	1	26
llama-2-13b-chat	mistral-medium	Tier 3	Tier 1	2	25
chatglm-6b	mpt-30b-chat	Tier 7	Tier 3	4	25
llama-2-7b-chat	qwen1.5-4b-chat	Tier 3	Tier 4	1	25
guanaco-33b	vicuna-33b	Tier 3	Tier 2	1	24
mistral-medium	openchat-3.5	Tier 1	Tier 2	1	24
llama-2-70b-chat	qwen1.5-7b-chat	Tier 2	Tier 3	1	24
chatglm2-6b	vicuna-33b	Tier 6	Tier 2	4	24
gpt4all-13b-snoozy	vicuna-7b	Tier 5	Tier 4	1	24
chatglm3-6b	vicuna-33b	Tier 5	Tier 2	3	24
codellama-34b-instruct	mistral-7b-instruct	Tier 3	Tier 4	1	24
qwen1.5-4b-chat	qwen1.5-72b-chat	Tier 4	Tier 1	3	24
openchat-3.5	qwen1.5-4b-chat	Tier 2	Tier 4	2	23
llama-2-7b-chat	mistral-medium	Tier 3	Tier 1	2	23
koala-13b	wizardlm-13b	Tier 5	Tier 3	2	23
chatglm2-6b	mistral-7b-instruct	Tier 6	Tier 4	2	22
falcon-180b-chat	vicuna-33b	Tier 3	Tier 2	1	22
llama-2-70b-chat	mpt-30b-chat	Tier 2	Tier 3	1	22
codellama-34b-instruct	tulu-2-dpo-70b	Tier 3	Tier 2	1	21
qwen1.5-72b-chat	qwen1.5-7b-chat	Tier 1	Tier 3	2	21
chatglm2-6b	wizardlm-13b	Tier 6	Tier 3	3	21
mistral-medium	wizardlm-70b	Tier 1	Tier 2	1	21
alpaca-13b	guanaco-33b	Tier 6	Tier 3	3	21
gpt4all-13b-snoozy	vicuna-33b	Tier 5	Tier 2	3	20
mistral-7b-instruct	vicuna-13b	Tier 4	Tier 3	1	20
dolly-v2-12b	vicuna-7b	Tier 8	Tier 4	4	20
chatglm3-6b	tulu-2-dpo-70b	Tier 5	Tier 2	3	20
gpt4all-13b-snoozy	oasst-pythia-12b	Tier 5	Tier 6	1	20
gpt4all-13b-snoozy	mpt-7b-chat	Tier 5	Tier 6	1	20
chatglm-6b	wizardlm-13b	Tier 7	Tier 3	4	20
mistral-7b-instruct	wizardlm-13b	Tier 4	Tier 3	1	19
chatglm-6b	vicuna-33b	Tier 7	Tier 2	5	19
dolly-v2-12b	mpt-7b-chat	Tier 8	Tier 6	2	19
RWKV-4-Raven-14B	mpt-30b-chat	Tier 6	Tier 3	3	19
chatglm2-6b	llama-2-13b-chat	Tier 6	Tier 3	3	18
llama-2-13b-chat	openchat-3.5	Tier 3	Tier 2	1	18
oasst-pythia-12b	vicuna-33b	Tier 6	Tier 2	4	18
RWKV-4-Raven-14B	gpt4all-13b-snoozy	Tier 6	Tier 5	1	18
alpaca-13b	mpt-30b-chat	Tier 6	Tier 3	3	18
llama-2-70b-chat	mistral-medium	Tier 2	Tier 1	1	18
stripedhyena-nous-7b	vicuna-33b	Tier 4	Tier 2	2	18
mistral-7b-instruct	tulu-2-dpo-70b	Tier 4	Tier 2	2	17
llama-2-70b-chat	mistral-7b-instruct-v0.2	Tier 2	Tier 3	1	17
alpaca-13b	gpt4all-13b-snoozy	Tier 6	Tier 5	1	17
chatglm-6b	guanaco-33b	Tier 7	Tier 3	4	17
mistral-medium	vicuna-13b	Tier 1	Tier 3	2	17
openchat-3.5	qwen-14b-chat	Tier 2	Tier 3	1	17
llama-2-70b-chat	qwen1.5-4b-chat	Tier 2	Tier 4	2	17
alpaca-13b	vicuna-33b	Tier 6	Tier 2	4	17
koala-13b	mpt-30b-chat	Tier 5	Tier 3	2	16
chatglm2-6b	qwen-14b-chat	Tier 6	Tier 3	3	16
mpt-30b-chat	mpt-7b-chat	Tier 3	Tier 6	3	16
alpaca-13b	llama-2-13b-chat	Tier 6	Tier 3	3	16
mistral-7b-instruct	wizardlm-70b	Tier 4	Tier 2	2	16
gpt4all-13b-snoozy	mpt-30b-chat	Tier 5	Tier 3	2	15
qwen-14b-chat	wizardlm-70b	Tier 3	Tier 2	1	15
mpt-30b-chat	oasst-pythia-12b	Tier 3	Tier 6	3	15
openchat-3.5	qwen1.5-7b-chat	Tier 2	Tier 3	1	15
openchat-3.5	vicuna-13b	Tier 2	Tier 3	1	15
llama-2-13b-chat	oasst-pythia-12b	Tier 3	Tier 6	3	15
chatglm-6b	llama-2-13b-chat	Tier 7	Tier 3	4	15
chatglm-6b	gpt4all-13b-snoozy	Tier 7	Tier 5	2	14
fastchat-t5-3b	vicuna-33b	Tier 7	Tier 2	5	14
chatglm2-6b	vicuna-7b	Tier 6	Tier 4	2	14
fastchat-t5-3b	guanaco-33b	Tier 7	Tier 3	4	14
chatglm2-6b	openchat-3.5	Tier 6	Tier 2	4	13
mistral-7b-instruct	qwen-14b-chat	Tier 4	Tier 3	1	12
mpt-7b-chat	vicuna-33b	Tier 6	Tier 2	4	12
fastchat-t5-3b	llama-2-13b-chat	Tier 7	Tier 3	4	12
llama-2-7b-chat	oasst-pythia-12b	Tier 3	Tier 6	3	12
chatglm2-6b	llama-2-7b-chat	Tier 6	Tier 3	3	12
falcon-180b-chat	llama-2-70b-chat	Tier 3	Tier 2	1	12
llama-2-13b-chat	mpt-7b-chat	Tier 3	Tier 6	3	11
openchat-3.5	wizardlm-13b	Tier 2	Tier 3	1	11
codellama-34b-instruct	openchat-3.5	Tier 3	Tier 2	1	11
falcon-180b-chat	mistral-7b-instruct	Tier 3	Tier 4	1	11
codellama-34b-instruct	stripedhyena-nous-7b	Tier 3	Tier 4	1	11
dolly-v2-12b	wizardlm-13b	Tier 8	Tier 3	5	11
qwen-14b-chat	vicuna-7b	Tier 3	Tier 4	1	11
chatglm3-6b	codellama-34b-instruct	Tier 5	Tier 3	2	11
falcon-180b-chat	wizardlm-70b	Tier 3	Tier 2	1	10
alpaca-13b	llama-2-7b-chat	Tier 6	Tier 3	3	10
tulu-2-dpo-70b	vicuna-13b	Tier 2	Tier 3	1	10
llama-2-7b-chat	openchat-3.5	Tier 3	Tier 2	1	10
dolly-v2-12b	guanaco-33b	Tier 8	Tier 3	5	10
chatglm3-6b	llama-2-70b-chat	Tier 5	Tier 2	3	10
openchat-3.5	vicuna-7b	Tier 2	Tier 4	2	9
fastchat-t5-3b	mpt-30b-chat	Tier 7	Tier 3	4	9
fastchat-t5-3b	gpt4all-13b-snoozy	Tier 7	Tier 5	2	9
nous-hermes-2-mixtral-8x7b-dpo	qwen1.5-7b-chat	Tier 2	Tier 3	1	9
RWKV-4-Raven-14B	vicuna-33b	Tier 6	Tier 2	4	9
mistral-medium	qwen1.5-4b-chat	Tier 1	Tier 4	3	9
llama-2-7b-chat	qwen1.5-72b-chat	Tier 3	Tier 1	2	9
chatglm3-6b	wizardlm-70b	Tier 5	Tier 2	3	8
llama-2-13b-chat	qwen1.5-72b-chat	Tier 3	Tier 1	2	8
chatglm3-6b	llama-2-13b-chat	Tier 5	Tier 3	2	8
qwen1.5-72b-chat	stripedhyena-nous-7b	Tier 1	Tier 4	3	8
stripedhyena-nous-7b	tulu-2-dpo-70b	Tier 4	Tier 2	2	8
falcon-180b-chat	vicuna-7b	Tier 3	Tier 4	1	8
nous-hermes-2-mixtral-8x7b-dpo	qwen1.5-4b-chat	Tier 2	Tier 4	2	8
chatglm-6b	llama-2-7b-chat	Tier 7	Tier 3	4	8
llama-2-7b-chat	tulu-2-dpo-70b	Tier 3	Tier 2	1	8
llama-2-70b-chat	stripedhyena-nous-7b	Tier 2	Tier 4	2	8
llama-2-13b-chat	stripedhyena-nous-7b	Tier 3	Tier 4	1	7
mistral-7b-instruct	openchat-3.5	Tier 4	Tier 2	2	7
qwen-14b-chat	tulu-2-dpo-70b	Tier 3	Tier 2	1	7
RWKV-4-Raven-14B	llama-2-7b-chat	Tier 6	Tier 3	3	7
chatglm3-6b	stripedhyena-nous-7b	Tier 5	Tier 4	1	7
llama-2-7b-chat	mpt-7b-chat	Tier 3	Tier 6	3	7
llama-2-13b-chat	qwen1.5-4b-chat	Tier 3	Tier 4	1	7
qwen1.5-4b-chat	qwen1.5-7b-chat	Tier 4	Tier 3	1	7
llama-2-13b-chat	tulu-2-dpo-70b	Tier 3	Tier 2	1	6
llama-2-7b-chat	nous-hermes-2-mixtral-8x7b-dpo	Tier 3	Tier 2	1	6
openchat-3.5	stripedhyena-nous-7b	Tier 2	Tier 4	2	6
qwen1.5-72b-chat	vicuna-13b	Tier 1	Tier 3	2	6
mistral-7b-instruct-v0.2	qwen1.5-72b-chat	Tier 3	Tier 1	2	6
chatglm3-6b	wizardlm-13b	Tier 5	Tier 3	2	6
chatglm2-6b	falcon-180b-chat	Tier 6	Tier 3	3	6
chatglm3-6b	mistral-7b-instruct	Tier 5	Tier 4	1	6
mistral-medium	qwen1.5-7b-chat	Tier 1	Tier 3	2	6
codellama-34b-instruct	qwen1.5-72b-chat	Tier 3	Tier 1	2	6
nous-hermes-2-mixtral-8x7b-dpo	vicuna-13b	Tier 2	Tier 3	1	5
fastchat-t5-3b	llama-2-7b-chat	Tier 7	Tier 3	4	5
llama-2-13b-chat	nous-hermes-2-mixtral-8x7b-dpo	Tier 3	Tier 2	1	5
stripedhyena-nous-7b	wizardlm-70b	Tier 4	Tier 2	2	5
tulu-2-dpo-70b	vicuna-7b	Tier 2	Tier 4	2	5
RWKV-4-Raven-14B	llama-2-13b-chat	Tier 6	Tier 3	3	5
chatglm3-6b	vicuna-13b	Tier 5	Tier 3	2	4
gpt4all-13b-snoozy	stablelm-tuned-alpha-7b	Tier 5	Tier 8	3	4
chatglm2-6b	mpt-30b-chat	Tier 6	Tier 3	3	4
stripedhyena-nous-7b	vicuna-13b	Tier 4	Tier 3	1	4
qwen-14b-chat	stripedhyena-nous-7b	Tier 3	Tier 4	1	4
tulu-2-dpo-70b	wizardlm-13b	Tier 2	Tier 3	1	4
mistral-7b-instruct	qwen1.5-72b-chat	Tier 4	Tier 1	3	4
qwen1.5-72b-chat	tulu-2-dpo-70b	Tier 1	Tier 2	1	4
qwen1.5-72b-chat	vicuna-33b	Tier 1	Tier 2	1	4
codellama-34b-instruct	qwen1.5-4b-chat	Tier 3	Tier 4	1	4
dolly-v2-12b	vicuna-33b	Tier 8	Tier 2	6	3
mistral-7b-instruct-v0.2	wizardlm-70b	Tier 3	Tier 2	1	3
chatglm3-6b	vicuna-7b	Tier 5	Tier 4	1	3
dolly-v2-12b	gpt4all-13b-snoozy	Tier 8	Tier 5	3	3
chatglm3-6b	llama-2-7b-chat	Tier 5	Tier 3	2	3
stablelm-tuned-alpha-7b	wizardlm-13b	Tier 8	Tier 3	5	3
qwen1.5-4b-chat	vicuna-33b	Tier 4	Tier 2	2	3
qwen1.5-7b-chat	stripedhyena-nous-7b	Tier 3	Tier 4	1	3
qwen1.5-7b-chat	vicuna-33b	Tier 3	Tier 2	1	2
gpt4all-13b-snoozy	llama-2-7b-chat	Tier 5	Tier 3	2	2
nous-hermes-2-mixtral-8x7b-dpo	stripedhyena-nous-7b	Tier 2	Tier 4	2	2
gpt4all-13b-snoozy	llama-2-13b-chat	Tier 5	Tier 3	2	2
mistral-7b-instruct-v0.2	mistral-medium	Tier 3	Tier 1	2	2
qwen1.5-7b-chat	tulu-2-dpo-70b	Tier 3	Tier 2	1	2
chatglm2-6b	tulu-2-dpo-70b	Tier 6	Tier 2	4	2
guanaco-33b	stablelm-tuned-alpha-7b	Tier 3	Tier 8	5	1
chatglm3-6b	qwen1.5-72b-chat	Tier 5	Tier 1	4	1
falcon-180b-chat	mistral-medium	Tier 3	Tier 1	2	1
chatglm2-6b	fastchat-t5-3b	Tier 6	Tier 7	1	1
dolly-v2-12b	mpt-30b-chat	Tier 8	Tier 3	5	1
codellama-34b-instruct	nous-hermes-2-mixtral-8x7b-dpo	Tier 3	Tier 2	1	1
chatglm3-6b	nous-hermes-2-mixtral-8x7b-dpo	Tier 5	Tier 2	3	1
koala-13b	llama-2-7b-chat	Tier 5	Tier 3	2	1
openchat-3.5	qwen1.5-72b-chat	Tier 2	Tier 1	1	1
mistral-7b-instruct-v0.2	nous-hermes-2-mixtral-8x7b-dpo	Tier 3	Tier 2	1	1
qwen1.5-72b-chat	wizardlm-70b	Tier 1	Tier 2	1	1
mistral-7b-instruct-v0.2	tulu-2-dpo-70b	Tier 3	Tier 2	1	1
mistral-7b-instruct	qwen1.5-7b-chat	Tier 4	Tier 3	1	1
chatglm3-6b	falcon-180b-chat	Tier 5	Tier 3	2	1
qwen1.5-4b-chat	vicuna-13b	Tier 4	Tier 3	1	1
mistral-7b-instruct	nous-hermes-2-mixtral-8x7b-dpo	Tier 4	Tier 2	2	1
